id,sn,title,worldwide,india_net,india_gross,overseas,budget,verdict
218,218,"Once Upon Ay Time In Mumbai Dobaara!",91.7,61.09,82.47,9.23,75,Flop
219,219,"Tees Maar Khan",100.01,60.96,82.29,17.72,35,Hit
220,220,Queen,93.05,60.83,82.12,10.93,20,SuperHit
221,221,Wanted,87.44,60.65,81.87,5.57,50,Hit
222,222,Race,103.73,60.64,84.89,18.84,45,Hit
223,223,"Udta Punjab",97.05,60.33,83.8,13.25,47,Hit
224,224,"Half Girlfriend",97.7,60.29,81.36,16.34,58,Average
225,225,Befikre,99.4,60.23,83.7,15.7,64,"Below Average"
226,226,Raanjhanaa,93.97,60.22,81.3,12.67,30,Hit
227,227,Partner,99.66,60.04,83.42,16.24,28,SuperHit
228,228,Besharam,95.1,59.87,80.83,14.27,83,Flop
229,229,Malang,80,59.84,70,10,50,"Above Average"
230,230,"Shootout at Wadala",83.7,58.65,79.18,4.52,45,"Above Average"
231,231,"Mere Brother Ki Dulhan",94.1,58.4,78.84,15.26,28,Hit
232,232,"Mohenjo Daro",107.9,58.23,78.61,29.29,120,Flop
233,233,"Action Jackson",88.8,57.78,78.01,10.79,80,Flop
234,234,"Mary Kom",91.33,56.3,76.05,15.28,30,Hit
235,235,"12th Fail",70.05,56.24,66.55,3.5,1,SuperHit
236,236,Haider,79.2,55.93,75.51,3.69,45,"Above Average"
237,237,"Jodhaa Akbar",106.68,55.91,75.48,31.2,45,"Above Average"
238,238,Mubarakan,93.24,55.48,76.88,16.36,63,Flop
239,239,"Once Upon a Time in Mumbaai",85.2,55.46,74.87,10.33,36,Hit
240,240,"Jaane Tu... Ya Jaane Na",82.1,55.36,74.73,7.37,15,SuperHit
241,241,"Yamla Pagla Deewana",88.55,55.12,74.41,14.14,28,Hit
242,242,"Kabhi Khushi Kabhie Gham",119.29,54.86,77.29,42,40,Blockbuster
243,243,Boss,84.83,54.33,73.34,11.49,70,Flop
244,244,Phantom,84.4,54.24,73.22,11.18,70,Flop
245,245,"Jagga Jasoos",83.35,54.16,75.22,8.13,125,Flop
246,246,Maidaan,71.72,53.54,63.97,7.75,1,None
247,247,"Dilwale Dulhania Le Jayenge",102.5,53.32,89,13.5,4,"All Time Blockbuster"
248,248,"Fast X",5800,53.11,131.7,4600,1,Hit
249,249,"Rang De Basanti",96.9,52.91,74.07,22.83,28,Hit
250,250,Heropanti,75.9,52.7,71.14,4.76,25,Hit
251,251,"Spider-Man: No Way Home",15700,52.52,271,9010,1500,SuperHit
252,252,Hanuman,295.23,52.29,238.23,57,1,Blockbuster
253,253,"Ki & Ka",99.25,52.24,70.52,28.73,30,Hit
254,254,"102 Not Out",115.68,52.15,67,48.68,34,Hit
255,255,Fanaa,102.86,51.89,70.05,32.81,30,SuperHit
256,256,"Deadpool & Wolverine",11180,51.75,169.25,5880,1,SuperHit
257,257,"Hate Story 3",75.1,51.73,69.82,5.28,20,Hit
258,258,"Delhi Belly",87.6,51.7,69.8,17.8,23,Hit
259,259,Kahaani,79.2,51.3,69.26,9.94,15,Hit
260,260,"Golmaal Returns",82.04,51.15,69.05,12.99,35,SuperHit
261,261,"Bachchhan Paandey",74.2,51.04,60.2,14,165,Disaster
262,262,"Main Tera Hero",77.25,50.91,68.7,8.55,40,Hit
263,263,"Sachin A Billion Dreams",70.87,50.89,65.15,5.72,39,Average
264,264,"Sachin: A Billion Dreams",70.87,50.89,65.15,5.72,39,Average
265,265,"Don: The Chase Begins Again",104.64,50.16,67.72,36.92,35,Hit
266,266,Badlapur,78.9,50.09,67.62,11.28,20,Hit
267,267,"Kis Kisko Pyaar Karoon",72.25,49.98,67.47,4.78,18,Hit
268,268,"Kai Po Che!",74,49.25,66.49,7.51,30,Hit
269,269,"Bhool Bhulaiyaa",82.35,49.11,68.2,14.15,32,SuperHit
270,270,Kites,87.46,49.09,66.27,21.19,65,Flop
271,271,"Raksha Bandhan",68.38,48.63,57.38,11,70,"Below Average"
272,272,"De Dana Dan",81.9,48.08,64.9,17,60,Average
273,273,Srikanth,60.58,48.06,57.08,3.5,1,None
274,274,Marjaavaan,62,48.04,55.5,6.5,50,Average
275,275,"Murder 2",67.59,47.65,64.33,3.26,13,SuperHit
276,276,Himmatwala,65.8,47.45,64.05,1.75,68,Flop
277,277,"Mardaani 2",67,47.35,57,10,30,Hit
278,278,"Heyy Babyy",83.9,47.15,63.65,20.25,30,Hit
279,279,"Kambakkht Ishq",85.55,47.06,63.53,22.02,50,Average
280,280,"Koi... Mil Gaya",80.29,46.96,70.43,9.86,28,SuperHit
281,281,"Kuch Kuch Hota Hai",91.09,46.88,63.29,27.8,14,"All Time Blockbuster"
282,282,"Ragini MMS 2",62.54,46.78,61.74,0.8,18,Hit
283,283,"Thank You",72.05,46.56,62.85,9.2,60,Flop
284,284,"Shuddh Desi Romance",75.2,46.45,62.7,12.5,25,Hit
285,285,Hichki,236.48,45.82,59,177.48,20,Hit
286,286,October,67.5,45.6,59,8.5,40,Hit
287,287,Veer,65.55,45.56,61.5,4.05,55,"Below Average"
288,288,Ishaqzaade,61.28,45.39,61.28,0,16,Hit
289,289,Guru,82.4,45.29,61.14,21.26,22,Hit
290,290,"New York",75.1,45.22,58.78,16.32,22,SuperHit
291,291,"Kyaa Super Kool Hai Hum",64.57,44.92,60.64,3.93,19,Hit
292,292,"Kabhi Alvida Naa Kehna",111.2,44.65,60.28,50.92,45,Average
293,293,"No Entry",73.02,44.57,62.4,10.62,22,SuperHit
294,294,Roy,56.05,44.56,52.58,3.47,50,Flop
295,295,"K.G.F : Chapter 1",237.75,44.42,227.75,10,80,Blockbuster
296,296,"ABCD: Any Body Can Dance",61.03,44.31,57.68,3.35,20,Hit
297,297,Dostana,81.68,44.15,59.6,22.08,40,Average
298,298,"Double Dhamaal",71,44.1,59.54,11.46,30,Hit
299,299,"Kaho Naa... Pyaar Hai",78.93,44.1,73.12,5.81,10,Blockbuster
300,300,Tumbbad,52.25,44.05,52.25,0,1,Hit
301,301,Heroine,70.6,43.22,58.35,12.25,35,Average
302,302,"Ek Villain Returns",60,43.21,51,9,72,None
303,303,"Raja Hindustani",76.38,43.2,60.48,15.9,6,"All Time Blockbuster"
304,304,"Agent Vinod",71.57,43.14,56.89,14.68,55,Flop
305,305,Shaandaar,73.3,43.1,59.95,13.35,69,Flop
306,306,"I Hate Luv Storys",72.95,42.97,58.01,14.94,24,Hit
307,307,"Romeo Akbar Walter",58,42.85,50.5,7.5,35,"Above Average"
308,308,"Shubh Mangal Saavdhan",64.06,42.79,59.4,4.66,25,Hit
309,309,"Madras Cafe",66.71,42.47,57.33,9.38,34,Average
310,310,"Desi Boyz",80,42.41,57.25,22.75,54,Flop
311,311,Veer-Zaara,97,42.4,60,37,22,SuperHit
312,312,"Jannat 2",62.5,42.25,57.05,5.45,23,Hit
313,313,Mohabbatein,76.91,41.88,56.71,20.2,19,Blockbuster
314,314,Devdas,90.63,41.67,56.25,34.38,30,Hit
315,315,"All The Best: Fun Begins",58.05,41.41,53.1,4.95,40,Average
