id,sn,title,worldwide,india_net,india_gross,overseas,budget,verdict
496,496,Khoobsurat,53.1,24.49,33.06,20.04,18,Average
497,497,Indian,41.7,24.09,40.24,1.46,13,Hit
498,498,Enthiran,291,24,216,75,132,"All Time Blockbuster"
499,499,"D Day",39.78,23.75,32.06,7.72,26,Flop
500,500,"Bombay Velvet",43.2,23.71,31.66,11.54,115,Disaster
501,501,"Saand Ki Aankh",31,23.67,28,3,20,"Above Average"
502,502,Bhoothnath,37.4,23.65,31.93,5.47,20,Average
503,503,"OK Jaanu",39.3,23.65,32.85,6.45,27,Flop
504,504,Lakshya,40.13,23.39,32.75,7.38,30,Flop
505,505,"Dil Bole Hadippa!",43.1,23.14,31.23,11.87,25,Flop
506,506,Thackeray,50.3,23.12,46.3,4,40,"Above Average"
507,507,Dus,37.22,23.1,31.19,6.03,21,Average
508,508,Omkara,41.96,23.1,31.19,10.77,25,Flop
509,509,"IB 71",29.7,23.1,27.5,2.2,1,Average
510,510,"Mrs Chatterjee Vs Norway",38.3,23.07,27.3,11,20,"Above Average"
511,511,Black,39.83,23.02,32.23,7.6,20,Average
512,512,"Munna Bhai M.B.B.S.",34.82,22.97,31.01,3.81,10,Hit
513,513,"Ponniyin Selvan - Part 1",488.36,22.91,313.36,175,250,"All Time Blockbuster"
514,514,"36 China Town",36.41,22.9,30.92,5.49,18,"Above Average"
515,515,"Mission Kashmir",42.25,22.83,37.54,4.71,20,Average
516,516,"Salaam-e-Ishq: A Tribute to Love",51.97,22.73,31.55,20.42,35,Disaster
517,517,Pardes,40.82,22.7,34.75,6.07,8,SuperHit
518,518,Billu,46.13,22.68,29.48,16.65,24,"Below Average"
519,519,"Kismat Konnection",37.94,22.6,30.51,7.43,25,Flop
520,520,"1920 - Evil Returns",30.44,22.55,30.44,0,8,"Above Average"
521,521,"Mere Baap Pehle Aap",35.98,22.53,30.42,5.56,18,"Below Average"
522,522,Joker,32.09,22.53,30.42,1.67,47,Disaster
523,523,"Murder 3",33.1,22.53,30.42,2.68,15,"Below Average"
524,524,Vedaa,30,22.52,26.75,3.25,1,None
525,525,"Ek Ladki Ko Dekha Toh Aisa Laga",44,22.45,26,18,50,Flop
526,526,"Chandigarh Kare Aashiqui",30.2,22.4,24.7,5.5,40,None
527,527,Saawariya,39.13,22.31,27,12.13,45,Disaster
528,528,Shamitabh,37.2,22.27,30.06,7.14,40,Disaster
529,529,"Hate Story 4",31,22.26,29,2,15,Hit
530,530,Taal,50.07,22.16,34.55,15.52,15,Hit
531,531,Aurangzeb,34.95,22.11,29.85,5.1,22,Flop
532,532,"Rocketry: The Nambi Effect",45.25,22.08,40.25,5,1,None
533,533,"Happy Phirr Bhag Jayegi",31,21.94,28,3,30,Flop
534,534,Roohi,28.7,21.93,25.7,3,25,Average
535,535,Apne,38.81,21.9,29.57,9.24,18,Average
536,536,"Black Adam",2985,21.85,57.52,2927.48,1500,None
537,537,"Gangs Of Wasseypur 2",31.57,21.65,29.23,2.34,18,Flop
538,538,"Saheb, Biwi Aur Gangster Returns",29.32,21.63,29.2,0.12,19,"Below Average"
539,539,"Black Panther: Wakanda Forever",6634,21.59,87.24,6546.76,1250,Hit
540,540,"Nautanki Saala",32.63,21.52,29.05,3.58,15,Average
541,541,"Pyaar To Hona Hi Tha",31.55,21.52,29.9,1.65,7.5,SuperHit
542,542,"Heropanti 2",28,21.5,25.3,2.7,80,Disaster
543,543,"Hum Tum",41.38,21.46,30.04,11.34,8,Hit
544,544,Raaz,35.6,21.32,34.92,0.68,5,Blockbuster
545,545,"Badhaai Do",28.15,21.29,25.15,3,30,Disaster
546,546,Soldier,37.79,21.23,35.4,2.39,8,SuperHit
547,547,"Commando-A One Man Army",28.62,21.2,28.62,0,17,Average
548,548,"Laapataa Ladies",27.66,21.11,24.91,2.75,1,None
549,549,Mulk,30.5,20.88,27.5,3,18,"Above Average"
550,550,Baghban,43.13,20.88,28.19,14.94,12,Hit
551,551,Luck,33.2,20.87,28.17,5.03,35,Flop
552,552,Jersey,30.75,20.85,25,5.75,60,Disaster
553,553,Rangoon,39.8,20.76,28.02,11.78,60,Disaster
554,554,"U Me Aur Hum",39.62,20.64,27.86,11.76,25,Flop
555,555,"A Gentleman",38.3,20.59,28.6,9.7,65,Disaster
556,556,Newton,28.35,20.54,28.35,0,15,Average
557,557,"Life Partner",32.25,20.48,27.64,4.61,19,"Below Average"
558,558,Blackmail,30,20.42,27,3,20,"Above Average"
559,559,Rangeela,33.45,20.37,32.62,0.83,5,Blockbuster
560,560,"Radhe Shyam",149.5,20.34,123.2,26.3,350,Disaster
561,561,Karwaan,29.5,20.32,26.5,3,20,Average
562,562,"The Ghazi Attack",34.5,20.3,27.4,7.1,16,Average
563,563,"Dil Chahta Hai",38.65,20.3,32.21,6.44,13,"Above Average"
564,564,"Rocket Singh: Salesman of the Year",33.3,20.29,26,7.3,16,"Above Average"
565,565,Kaante,41.9,20.28,32.08,9.82,28,"Below Average"
566,566,Masti,34.14,20.26,27.36,6.78,10,Hit
567,567,"Waqt: The Race Against Time",42.51,20.24,29.2,13.31,16,Average
568,568,"The Accidental Prime Minister",26.5,20.22,24,2.5,25,Flop
569,569,"The Sky Is Pink",28.5,20.2,23.5,5,24,Flop
570,570,Kidnap,33.76,20.19,27.25,6.51,27,Flop
571,571,Raja,33.59,20.17,32.5,1.09,4,Blockbuster
572,572,"The Lunchbox",100.9,20.15,27.07,73.83,22,Average
573,573,Sunday,31.2,20.13,27.18,4.02,20,"Below Average"
574,574,Hulchul,31.74,20.1,28.15,3.59,10,Hit
575,575,"Tere Naal Love Ho Gaya",31.6,19.9,26.87,4.73,13,Average
576,576,"Guardians of the Galaxy Vol. 3",6550,19.49,72.1,3800,1,None
577,577,"Taxi No. 9211",31.55,19.43,26.23,5.32,10,"Above Average"
578,578,"Krazzy 4",31.97,19.42,26.21,5.76,16,Average
579,579,"Chance Pe Dance",29.88,19.39,26.18,3.7,26,Flop
580,580,"Agni Sakshi",31.39,19.38,30.79,0.6,4.5,Blockbuster
581,581,Ungli,29.95,19.31,26.07,3.88,35,Disaster
582,582,Fitoor,39.7,19.26,26,13.7,70,Disaster
583,583,"Chalte Chalte",40.2,19.25,26,14.2,11,Hit
584,584,Alone,29.6,19.17,25.88,3.72,18,"Below Average"
585,585,"Lipstick Under My Burkha",26.68,19.16,25.95,0.73,6,Hit
586,586,Te3n,33.85,19.11,25.8,8.05,34,Flop
587,587,"Dolly Ki Doli",28.34,19.07,25.74,2.6,18,"Below Average"
588,588,"Bade Miyan Chote Miyan",35.14,19.05,32.95,2.19,10,Hit
589,589,Barsaat,33.9,19.04,32.25,1.65,8,SuperHit
590,590,Kaal,32.17,18.98,25.62,6.55,11,Average
591,591,"Dulhan Hum Le Jayenge",36.84,18.86,31.67,5.17,11,Hit
592,592,"Jabariya Jodi",25.24,18.85,22.24,3,30,Flop
593,593,"Hum Kisise Kum Nahin",29.15,18.83,26.19,2.96,18,"Below Average"
594,594,Sarfarosh,29.31,18.74,25.31,4,8,Hit
595,595,"Jodi No.1",34.02,18.73,31.57,2.45,10,Hit
596,596,Liger,56.18,18.55,48.58,7.6,125,Disaster
597,597,"Chori Chori Chupke Chupke",37.52,18.47,31.02,6.5,10,Hit
598,598,"Merry Christmas",27.18,18.39,24.18,3,1,None
599,599,Madaari,28.8,18.33,24.75,4.05,20,Flop
600,600,Ziddi,32.35,18.25,31.8,0.55,7,SuperHit
601,601,Bluffmaster!,31.59,18.21,24.45,7.14,8,"Above Average"
602,602,"Gupt: The Hidden Truth",33.15,18.11,31.7,1.45,9,Hit
603,603,"Pyaar Kiya To Darna Kya",33.37,18.03,25.24,8.13,8,SuperHit
604,604,"Jayeshbhai Jordaar",17.5,17.91,21.13,3.45,1,Disaster
605,605,"Begum Jaan",NULL,17.83,0,NULL,1,None
606,606,Josh,34.02,17.67,28.97,5.05,15,Average
607,607,"Fool n Final",27.08,17.64,23.81,3.27,23,Flop
608,608,"Main Prem Ki Diwani Hoon",38.67,17.6,27.2,11.47,21,Flop
609,609,Creature,25.2,17.55,23.69,1.51,25,Flop
610,610,"Break Ke Baad",29.03,17.5,23.62,5.41,19,Flop
611,611,Aankhen,29.44,17.47,23.58,5.86,15,Average
612,612,"7 Khoon Maaf",27.4,17.46,23.57,3.83,21,Flop
613,613,"Qayamat: City Under Threat",28.5,17.46,23.57,4.93,16,Average
614,614,"Attack - Part 1",22,17.35,18.8,3.2,55,Flop
615,615,"Laaga Chunari Mein Daag",35.98,17.3,23.36,12.62,15,"Below Average"
616,616,Simran,27.63,17.21,23.9,3.73,1,None
617,617,Baabul,38.57,17.14,23.11,15.46,22,Flop
618,618,"Mujhe Kucch Kehna Hai",29.95,17.12,28.23,1.72,7,SuperHit
619,619,"Cheeni Kum",31.85,17.11,23.08,8.77,11,"Above Average"
620,620,"Band Baaja Baaraat",30,17.09,23.04,6.96,13,Average
621,621,Ajnabee,31.83,17.05,23.02,8.81,17,Average
622,622,Selfiee,24.6,17.03,20.1,4.5,100,Disaster
623,623,Aiyaary,30.59,17.01,21.78,8.81,65,Flop
624,624,Refugee,34.41,17.01,27.95,6.46,14,Average
625,625,"Bombay Talkies",NULL,17,0,NULL,1,None
626,626,"Hero No. 1",30.88,17,30.1,0.78,6.5,SuperHit
627,627,"Section 375",22,17,20,2,20,"Below Average"
628,628,Bewafaa,30,16.96,22.9,7.1,18,Average
629,629,"Hum Aapke Dil Mein Rehte Hain",36.18,16.95,28.4,7.78,6,SuperHit
630,630,"The Nun 2",2150,16.8,54.6,1440,1,Hit
631,631,"Qarib Qarib Singlle",24.1,16.74,22.6,1.5,15,Average
632,632,Yuvvraaj,28.82,16.67,22.5,6.32,45,Disaster
633,633,"Do Knot Disturb",27.73,16.67,22.5,5.23,28,Flop
634,634,Parineeta,30.29,16.62,22.39,7.9,16,"Below Average"
635,635,"The Greatest of All Time",454.61,16.6,296.61,158,1,Hit
636,636,"Mumbai Saga",22,16.5,19.2,2.8,40,Flop
637,637,Jeet,28.69,16.44,27.3,1.39,6,SuperHit
638,638,Humraaz,28.64,16.42,26.1,2.54,14,Average
639,639,"The Tashkent Files",20,16.41,19.4,0.6,8,SuperHit
640,640,"Awara Paagal Deewana",27.6,16.35,21.61,5.99,13,Average
641,641,"Kachche Dhaage",28.8,16.25,27.7,1.1,10,Hit
642,642,"Ponniyin Selvan - Part 2",344.63,16.24,214.63,130,1,Hit
643,643,Swades,33.61,16.13,22.58,11.03,20,Flop
644,644,1921,22.8,15.94,20.4,2.4,15,"Above Average"
645,645,Andaaz,28.8,15.93,21.51,7.29,8,Hit
646,646,"All Is Well",23.05,15.93,21.53,1.52,28,Flop
647,647,Dhol,23,15.91,21.48,1.52,14,Average
648,648,"Zilla Ghaziabad",22.3,15.75,21.26,1.04,34,Flop
649,649,Lajja,33.2,15.74,25.88,7.32,20,Flop
650,650,"Life in a Metro",24.15,15.63,21.1,3.05,8,"Above Average"
651,651,Aitraaz,26.03,15.56,21.03,5,11,Average
652,652,"Kyaa Kool Hai Hum",21.81,15.55,20.99,0.82,5,Hit
653,653,Sholay,50,15.5,35,15,3,"All Time Blockbuster"
654,654,"1920 London",22.98,15.49,20.92,2.06,15,"Below Average"
655,655,"8 x 10 Tasveer",23.59,15.46,20.87,2.72,35,Disaster
656,656,Apaharan,22.59,15.44,21.63,0.96,10,"Above Average"
657,657,Tezz,26.1,15.42,20.81,5.29,52,Disaster
658,658,"Har Dil Jo Pyar Karega",32.46,15.39,25.92,6.54,13,Average
659,659,Badal,25.83,15.22,25.17,0.66,10,Hit
660,660,"Deewane Huye Paagal",26.6,15.16,20.47,6.13,20,Flop
661,661,"Tere Naam",24.55,15.14,19.59,4.96,12,Average
662,662,Dev.D,19.8,15.13,19.67,0.13,11,Average
663,663,Saathiya,28.09,15.11,23.64,4.45,7,Hit
664,664,Ghatak,26.48,15.1,25.9,0.58,6,SuperHit
665,665,Mela,28.06,15.04,24.79,3.27,16,Flop
666,666,Zanjeer,22.54,15.01,20.26,2.28,45,Disaster
667,667,"Haseena Maan Jaayegi",26.1,14.9,24.6,1.5,9,Hit
668,668,"Saala Khadoos",21,14.85,20.04,0.96,20,Flop
669,669,Murder,21.13,14.82,20.75,0.38,5,SuperHit
670,670,Baadshah,31.5,14.74,24.04,7.46,10,"Above Average"
671,671,Koyla,27.96,14.73,25.83,2.13,12,Average
672,672,Jhund,23,14.7,17.3,5.7,1,Average
673,673,"Freaky Ali",21.3,14.66,19.79,1.51,18,Flop
674,674,"Hamara Dil Aapke Paas Hai",29.3,14.63,23.59,5.71,8,Hit
675,675,Fiza,31.12,14.52,23.7,7.42,5,Hit
676,676,"Gulaab Gang",22.5,14.4,19.44,3.06,27,Flop
677,677,"Khiladiyon Ka Khiladi",25.15,14.38,19.41,5.74,6.5,SuperHit
678,678,"Maine Pyar Kiya",27.5,14.31,23,4.5,4,"All Time Blockbuster"
679,679,Bhoot,21.9,14.3,20.39,1.51,6,Hit
680,680,"Apna Sapna Money Money",19.84,14.22,19.2,0.64,8,"Above Average"
681,681,"Humko Deewana Kar Gaye",27.37,14.21,19.18,8.19,17,Flop
682,682,"Satyameva Jayate 2",15,14.16,12.4,2.6,60,None
683,683,Yuva,23.37,14.08,19.71,3.66,11,"Below Average"
684,684,Satya,18.6,14.08,18.4,0.2,3,SuperHit
685,685,"Teraa Surroor",20,14.06,18.98,1.02,15,Average
686,686,Dhadkan,26.47,14.01,18.91,7.56,9,Average
687,687,Crakk,17.88,13.98,16.38,1.5,1,None
688,688,"Hindustan Ki Kasam",26.6,13.96,18.85,7.75,12,Average
689,689,Bewakoofiyaan,21.93,13.95,18.83,3.1,19,Flop
690,690,Judaai,27.98,13.95,24.75,3.23,6,SuperHit
691,691,"Bandit Queen",20.4,13.87,20.4,0,3.5,SuperHit
692,692,"Hum Tumhare Hain Sanam",31.4,13.85,18.7,12.7,12,Average
693,693,"Ant-Man and the Wasp: Quantumania",3890,13.82,55,2155,1500,Average
694,694,"Khamoshiyan: Silences Have Secrets",19.5,13.78,18.6,0.9,11,Average
695,695,"Dhan Dhana Dhan Goal",21.1,13.75,18.56,2.54,18,Flop
696,696,"Great Grand Masti",20.25,13.72,18.52,1.73,38,Disaster
697,697,"Saajan Chale Sasural",23.55,13.7,23.27,0.28,4.5,SuperHit
698,698,Company,23.95,13.65,21.6,2.35,8,"Above Average"
699,699,"Chup Chup Ke",24.78,13.57,18.32,6.46,10,Average
700,700,Aankhen,18.84,13.5,18.31,0.53,2,"All Time Blockbuster"
701,701,"Deewana Mastana",24.3,13.48,23.15,1.15,7,Hit
702,702,Hunterrr,18.22,13.42,18.22,0,9,Average
703,703,"Hate Story",17.98,13.32,17.98,0,9,Average
704,704,"Babumoshai Bandookbaaz",18.24,13.23,18.24,0,10,Average
705,705,Ghulam,23.1,13.23,21.6,1.5,7,Hit
706,706,"India's Most Wanted",18,13.2,15.5,2.5,30,Disaster
707,707,"Bbuddah...Hoga Terra Baap",21.4,13.2,17.82,3.58,20,Flop
708,708,"Maa Tujhhe Salaam",21.59,13.15,21.16,0.43,12,Average
709,709,Judwaa,23.4,13.14,17.8,5.6,6.25,Hit
710,710,"Kingdom of the Planet of the Apes",2103.28,13.13,34.28,1150,1,None
711,711,Oppenheimer,7925,13.11,157.5,5210,1,SuperHit
712,712,Paheli,31.92,13.1,18.63,13.29,14,"Below Average"
713,713,"Shaadi Mein Zaroor Aana",17,13.07,16.96,0.04,13,"Below Average"
714,714,"1920: Horrors of the Heart",17.35,13.02,16.85,0.5,1,None
715,715,"Ganapath - A Hero Is Born",18,13.02,15.5,2.5,1,Disaster
716,716,"Major Saab",22.18,12.97,20.27,1.91,8,Hit
717,717,Major,58.2,12.96,45.2,13,30,SuperHit
718,718,"Ujda Chaman",16.7,12.86,15.2,1.5,20,Flop
719,719,"Khuda Haafiz Chapter II",15.4,12.86,13.2,2.2,1,None
720,720,"Phone Bhoot",17.62,12.81,15.12,2.5,25,None
721,721,"Mujhse Dosti Karoge!",32.67,12.77,20.13,12.54,11,"Below Average"
722,722,"China Gate",22.2,12.65,21.7,0.5,9,"Above Average"
723,723,"Halla Bol",19.2,12.63,17.05,2.15,20,Flop
724,724,"Dulhe Raja",21.45,12.63,21.15,0.3,5,SuperHit
725,725,"Kyon Ki",22.49,12.62,17.04,5.45,20,Flop
726,726,Gangster,16.85,12.48,16.85,0,5,"Above Average"
727,727,"Coolie No. 1",21.15,12.45,20.8,0.35,3.5,SuperHit
728,728,"Manjhi - The Mountain Man",16.79,12.44,16.79,0,8,Average
729,729,"God Tussi Great Ho",20.4,12.44,17.4,3,21,Flop
730,730,Heroes,23.09,12.42,16.77,6.32,18,Flop
731,731,Hungama,18.43,12.38,17.4,1.03,6,"Above Average"
732,732,"Hera Pheri",21.42,12.35,16.67,4.75,7.5,Hit
733,733,"Made In China",16.2,12.3,14.5,1.7,25,Flop
734,734,"Mere Dad Ki Maruti",17.3,12.25,16.54,0.76,10,"Below Average"
735,735,"Auron Mein Kahan Dum Tha",15.79,12.18,13.64,2.15,1,None
736,736,"Kya Kehna",21.14,12.05,19.5,1.64,4,SuperHit
737,737,Mohra,22.65,12.02,16.22,6.43,3.25,Blockbuster
738,738,Khalnayak,21,12,21,0,5,SuperHit
739,739,Bandhan,21.4,11.97,20.6,0.8,5.5,Hit
740,740,"Bunty Aur Babli 2",20.5,11.9,14,6.5,30,None
741,741,"Paan Singh Tomar",17.05,11.87,16.02,1.03,7,Average
742,742,"Yamla Pagla Deewana Phir Se",17,11.7,14.5,2.5,30,Disaster
743,743,"Fanney Khan",19.25,11.67,14.75,4.5,18,Flop
744,744,"Pyare Mohan",18.1,11.65,15.73,2.37,12,Flop
745,745,Chup,19,11.6,13.7,5.3,25,Flop
746,746,"Ek Aur Ek Gyarah",19.24,11.57,16.2,3.04,8.5,"Below Average"
747,747,"Ab Tumhare Hawale Watan Saathiyo",19.16,11.56,15.61,3.55,20,Flop
748,748,"Bobby Jasoos",20.38,11.55,15.59,4.79,24,Flop
749,749,"Chal Mere Bhai",21.2,11.52,18.61,2.59,13,Flop
750,750,Beta,21,11.5,21,0,4,Blockbuster
751,751,"A Wednesday!",15.46,11.45,15.46,0,3,Hit
752,752,Loveyatri,18,11.4,15.5,2.5,22,Flop
753,753,Asoka,27.92,11.4,19.2,8.72,12,"Below Average"
754,754,Yudhra,14.52,11.39,13.37,1.15,1,None
755,755,"Arjun Pandit",31.5,11.31,24.04,7.46,9,Average
756,756,Deewangee,17.59,11.3,15.78,1.81,9,Average
757,757,"Vaastav: The Reality",19.47,11.3,19.05,0.42,5.5,Hit
758,758,"Chachi 420",20.02,11.3,19.5,0.52,4.5,Hit
759,759,"An Action Hero",16.85,11.3,13.35,3.5,30,Flop
760,760,"Poster Boys",14.81,11.28,14.31,0.5,18,Flop
761,761,"Daag: The Fire",20.2,11.28,18.6,1.6,6,Hit
762,762,Virasat,20.61,11.23,19.4,1.21,5,Hit
763,763,"Lucknow Central",16.95,11.2,15.56,1.39,1,None
764,764,"Yes Boss",22.85,11.2,19.4,3.45,5,Hit
765,765,"Hadh Kar Di Aapne",19.02,11.14,17.9,1.12,7,"Above Average"
766,766,"Vikrant Rona",100.35,11.13,94.75,5.6,95,None
767,767,"Sye Raa Narasimha Reddy",246.6,11.03,216.6,30,275,"Below Average"
768,768,Kurukshetra,18.8,11.02,17.78,1.02,8.5,Average
769,769,"Why Cheat India",14.5,10.92,13,1.5,25,Disaster
770,770,Darr,21.28,10.91,19.53,1.75,3.3,Blockbuster
771,771,Zameen,16.58,10.83,15.16,1.42,10,"Below Average"
772,772,"Jaani Dushman: Ek Anokhi Kahani",19,10.71,14.46,4.54,18,Flop
773,773,"Jhootha Hi Sahi",16.68,10.7,14.45,2.23,35,Disaster
774,774,"Table No. 21",17.44,10.68,14.42,3.02,8,"Below Average"
775,775,"Guest iin London",11.9,10.64,11.04,0.86,28,Disaster
776,776,Jaanwar,18.95,10.64,14.36,4.59,6,Hit
777,777,"Dil Se..",24.45,10.63,14.9,9.55,8,Hit
778,778,Kunwara,19.25,10.62,18.07,1.18,9,"Below Average"
779,779,"Phir Bhi Dil Hai Hindustani",24.39,10.61,17.2,7.19,13,Flop
780,780,"Nayak: The Real Hero",19.61,10.6,17.05,2.56,20,Flop
781,781,"Tumko Na Bhool Paayenge",19.87,10.57,17.45,2.42,12,Flop
782,782,"Rock On 2",17.8,10.56,14.26,3.54,40,Disaster
783,783,Bichhoo,17.69,10.55,17.11,0.58,7,"Above Average"
784,784,"John Wick: Chapter 4",3050,10.55,61,1635,900,Hit
785,785,"Hello Brother",20.06,10.53,17.1,2.96,9,"Below Average"
786,786,Mirzya,15,10.49,14.16,0.84,45,Disaster
787,787,Gangaajal,16.6,10.48,14.15,2.45,7,Average
788,788,"Wajah Tum Ho",14.07,10.42,14.07,0,14,Flop
789,789,Albela,18.74,10.37,17.6,1.14,10,"Below Average"
790,790,Mukkabaaz,NULL,10.35,0,NULL,10,"Above Average"
791,791,"Bhoomi (film)",14.84,10.33,14.28,0.56,25,Disaster
792,792,"The Vaccine War",14.7,10.33,12.2,2.5,1,None
793,793,1920,13.86,10.27,13.86,0,6,Average
794,794,Paltan,14,10.26,13,1,25,Flop
795,795,"Revolver Rani",13.84,10.25,13.84,0,22,Flop
796,796,"Bheja Fry 2",17.11,10.25,13.84,3.27,9,Average
797,797,Vikram,414.43,10.25,289.43,125,120,"All Time Blockbuster"
798,798,Firangi,16.6,10.21,13.77,2.83,25,Flop
799,799,"Angrezi Medium",15,10.21,12,3,1,None
800,800,"Saheb Biwi Aur Gangster",14.43,10.2,13.77,0.66,5,Hit
801,801,"Venom: Let There Be Carnage",4200,10.2,28.5,2425,820,None
802,802,Pataakha,13.3,10.12,13,0.3,20,Flop
803,803,"Spider-Man: Across the Spider-Verse",5650,10.12,53.8,2510,1,Hit
804,804,"Anari No.1",17.83,10.09,17.3,0.53,6,Hit
805,805,"Hogi Pyaar Ki Jeet",14.32,10.07,13.98,0.34,6,Hit
806,806,"Shaadi Se Pehle",15.92,10.02,13.53,2.39,10,Flop
807,807,Fida,16.5,10,15.5,1,10,"Below Average"
808,808,"Main Atal Hoon",12.49,9.95,11.84,0.65,1,None
809,809,"Tera Jadoo Chal Gayaa",18.5,9.9,16.5,2,8,Average
810,810,"Ragini MMS",13.2,9.88,13.2,0,5,"Above Average"
811,811,"Bhaiyya Ji",10.22,9.82,10.22,0,1,None
812,812,"Love Sex aur Dhokha",12.89,9.74,12.89,0,4,"Above Average"
813,813,Jaan,17.1,9.73,16.6,0.5,4.5,SuperHit
814,814,Phoonk,13.03,9.65,13.03,0,4,Hit
815,815,"Welcome to Sajjanpur",13.03,9.64,13.03,0,8,Average
816,816,"Sabse Bada Khiladi",16.06,9.5,12.69,3.37,4,Hit
817,817,Saajan,18,9.5,18,0,4,SuperHit
818,818,"Aap Mujhe Achche Lagne Lage",19.21,9.42,14.73,4.48,10,Flop
819,819,"Mr. and Mrs. Khiladi",13.14,9.37,12.48,0.66,5,Hit
820,820,"Aan: Men at Work",14.4,9.25,12.49,1.91,15,Disaster
821,821,"Aksar 2",12,9.2,11.8,0.2,9.5,Flop
822,822,Krantiveer,14.81,9.12,14.6,0.21,2,Blockbuster
823,823,"Sanam Teri Kasam",15.1,9.1,12.29,2.81,18,Flop
824,824,Diljale,15.8,9.1,12.29,3.51,5,Hit
825,825,Ulajh,11.26,9.07,10.26,1,1,None
826,826,Ajay,16.7,9.06,16.25,0.45,6,Average
827,827,Anek,9,9.05,10.68,1.7,1,Disaster
828,828,Julie,13.04,9.04,12.62,0.42,5,"Above Average"
829,829,"Namaste England",12,9,11.5,0.5,50,Disaster
830,830,"Pyar ka Punchnama",17.3,9,12.15,5.15,9.5,Average
831,831,"Pal Pal Dil Ke Paas",12.5,9,10.5,2,30,Disaster
832,832,"Transformers: Rise of the Beast",2400,9,33.2,1450,1,None
833,833,Drona,18,8.98,13.5,4.5,35,Disaster
834,834,"Haan Maine Bhi Pyaar Kiya",19.56,8.92,12.04,7.52,11,Flop
835,835,Bhai,14.5,8.9,13.5,1,5.5,Hit
836,836,"International Khiladi",16.2,8.88,11.99,4.21,7.5,Average
837,837,"HIT – The First Case",8,8.87,10.47,1.4,1,None
838,838,"Dil Kya Kare",18.62,8.82,14.15,4.47,9,Flop
839,839,Banjo,13.2,8.78,11.85,1.35,20,Flop
840,840,"Bheja Fry",11.81,8.75,11.81,0,1.5,Hit
841,841,"Tujhe Meri Kasam",12.47,8.73,12.23,0.24,3.5,"Above Average"
842,842,"Arjun Patiala",12.3,8.65,10.3,2,25,Disaster
843,843,"Guddu Rangeela",13,8.62,11.64,1.36,15,Disaster
844,844,"Dosti: Friends Forever",22.05,8.59,11.6,10.45,15,Flop
845,845,"Luv Shuv Tey Chicken Khurana",12.6,8.55,11.54,1.06,11,Flop
846,846,Ghayal,20,8.5,16,4,2.5,Blockbuster
847,847,Saudagar,15.5,8.5,15.5,0,5,Hit
848,848,Godfather,107,8.46,87,20,100,Flop
849,849,"Ram Jaane 1995",15.05,8.44,14.3,0.75,3.5,Hit
850,850,Trimurti,14.49,8.44,13.17,1.32,10,Flop
851,851,Khoobsurat,15.06,8.42,14.39,0.67,6,"Above Average"
852,852,Aksar,11.35,8.41,11.35,0,4.5,"Above Average"
853,853,"Dhaai Akshar Prem Ke",16,8.3,12.5,3.5,8.5,Flop
854,854,Shikara,11.5,8.25,10,1.5,25,Flop
855,855,"Rashtra Kavach: OM",4.8,8.25,9.74,1,1,None
856,856,"Sita Ramam",94.28,8.23,77.28,17,25,Blockbuster
857,857,"B.A. Pass",11.07,8.2,11.07,0,6.5,Average
858,858,"Mere Yaar Ki Shaadi Hai",15.49,8.18,12.53,2.96,5.5,"Above Average"
859,859,"Welcome 2 Karachi",13.4,8.18,11.04,2.36,25,Disaster
860,860,Daddy,11.59,8.15,11.25,0.34,1,None
861,861,Mard,16.2,8.1,16.2,0,1,Blockbuster
862,862,"Raja Babu",15.2,8.08,15.03,0.17,2.5,SuperHit
863,863,"Haseena Parkar",11.12,8.06,11.11,0.01,15,Disaster
864,864,Jism,12.87,7.97,12.53,0.34,3,Hit
865,865,Varisu,297.55,7.92,208.55,89,200,SuperHit
866,866,"Tango Charlie",12,7.9,11,1,14,Flop
867,867,"Main Khiladi Tu Anari",13.84,7.88,10.64,3.2,3.2,Hit
868,868,"Talaash: The Hunt Begins...",14.7,7.88,10.62,4.08,9.5,Flop
869,869,"Savi: A Bloody Housewife",11.26,7.84,9.26,2,1,None
870,870,"Ram Gopal Varma Ki Aag",13.5,7.81,11,2.5,20,Disaster
871,871,"Kyo Kii Main Jhuth Nahin Bolta",13.24,7.77,12.3,0.94,8,"Below Average"
872,872,Eternals,1300,7.77,32.6,670,1500,None
873,873,Gumraah,9.1,7.74,8.3,0.8,25,Flop
874,874,"Ishq Vishk",10.91,7.65,10.58,0.33,5,Hit
875,875,"Yeh Raaste Hain Pyaar Ke",14.55,7.62,12.1,2.45,8,"Below Average"
876,876,"Prem Granth",13.3,7.62,12.5,0.8,5,Average
877,877,"Tere Mere Sapne",13.15,7.57,13.04,0.11,3,Hit
878,878,"Dus Kahaniyaan",12.88,7.52,10.15,2.73,20,Disaster
879,879,Kaalakaandi,NULL,7.5,0,NULL,25,Flop
880,880,"One Two Three",NULL,7.5,0,NULL,1,None
881,881,"Kya Yehi Pyaar Hai",12.33,7.45,11.52,0.81,5,Average
882,882,"777 Charlie",102.75,7.45,96.95,5.8,15,Blockbuster
883,883,"Joru Ka Ghulam",12.05,7.44,11.67,0.38,5,Average
884,884,"Jis Desh Mein Ganga Rehta Hain",12.8,7.4,12,0.8,7,"Below Average"
885,885,Road,12.15,7.39,11.18,0.97,5,Average
